"""万控智造携手""",3,26,2024
"""一个上午没资金流入？""",3,26,2024
"""这个股票涨的少，跌的狠""",3,26,2024
"""杀人诛心！耗不过，走了""",3,26,2024
"""哎，耗不过，走了""",3,26,2024
"""万控智造：融资净偿还21.15万元，融资余额3820.8万元（03-25）""",3,26,2024
"""万控智造03月25日被沪股通减持20.99万股""",3,26,2024
"""万控已经完蛋了，天天跌，估计业绩很差，温州的股票不能买。""",3,25,2024
"""万控智造连续5周融资净偿还合计566.86万元""",3,24,2024
"""万控智造：本周沪股通持股量环比减少26%，周内减仓幅度居电网设备板块第四""",3,24,2024
"""万控智造：融资净买入27.84万元，融资余额3841.94万元（03-22）""",3,23,2024
"""万控智造03月22日被沪股通减持3.18万股""",3,23,2024
"""呕吼，居然这样了，""",3,22,2024
"""怎么每天集合竞价都跌停""",3,22,2024
"""万控智造：融资净偿还102万元，融资余额3814.1万元（03-21）""",3,22,2024
"""万控智造03月21日被沪股通减持9.67万股""",3,22,2024
"""明天开始10个连板""",3,21,2024
"""非雾玩意再见[微笑]""",3,21,2024
"""老万，终于板块跌了，让老子喘口气，快溜快溜""",3,21,2024
"""万控智造：融资净买入123.64万元，融资余额3916.1万元（03-20）""",3,21,2024
"""万控智造03月20日获沪股通增持5.62万股""",3,21,2024
"""请问贵司万榕信息技术公司做什么业务，是否涉及人工智能业务，麻烦回复，谢谢""",3,25,2024
"""竞价不用这么卖力吧""",3,20,2024
"""我又来了，亏了""",3,20,2024
"""走了各位，""",3,20,2024
"""万控智造：连续6日融资净偿还累计175.43万元（03-19）""",3,20,2024
"""万控智造03月19日被沪股通减持1.66万股""",3,20,2024
"""等回调""",3,19,2024
"""最后几秒的那几万块钱是谁砸的，害我没有出的去[大哭][大哭][大哭]""",3,19,2024
"""看看融券余额""",3,19,2024
"""45买回来了[大笑]""",3,19,2024
"""万控智造：连续5日融资净偿还累计142.77万元（03-18）""",3,19,2024
"""万控智造03月18日被沪股通减持15.57万股""",3,19,2024
"""看看年线，这股会到18左右""",3,18,2024
"""垃圾""",3,18,2024
"""13.47走了，等大跌""",3,18,2024
"""今天尾盘涨停""",3,18,2024
"""万控智造：连续4日融资净偿还累计119.02万元（03-15）""",3,16,2024
"""完美，今天没动""",3,15,2024
"""万控智造：连续3日融资净偿还累计105.74万元（03-14）""",3,15,2024
"""万控智造03月14日被沪股通减持13.43万股""",3,15,2024
